track_id_1,track_id_2
40,64
40,66
40,67
40,41
40,45
40,46
40,47
40,48
40,51
40,55
40,57
40,60
40,61
40,63
41,64
41,66
41,67
41,45
41,46
41,47
41,48
41,51
41,55
41,57
41,60
41,61
41,63
45,64
45,46
45,47
45,48
45,51
45,55
45,57
45,60
45,61
45,63
46,47
46,48
46,51
46,55
46,57
46,60
46,61
47,64
47,66
47,67
47,48
47,51
47,55
47,57
47,60
47,61
47,63
48,64
48,66
48,67
48,51
48,57
48,60
48,61
48,63
51,64
51,66
51,67
51,57
51,60
51,61
51,63
55,67
55,57
55,61
57,64
57,66
57,67
57,60
57,61
57,63
60,64
60,66
60,67
60,61
60,63
61,64
61,66
61,67
61,63
63,64
63,66
63,67
64,66
64,67
66,67
