track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio
1,10.0,371.0,361.0,362,113.78577348066298,113.7,0.1962298898829254,-0.0013010511542685711,0.0054016620498618185,91.22115043114981,79.61748235866699,62.702971289511474,-1.736618634556775,41,0.1132596685082873
2,10.0,73.0,63.0,64,273.83671875000005,273.82500000000005,0.0761588530535771,-0.002562957875457029,0.0119047619047601,219.48483188649743,217.5500155433583,4.854881593854476,0.2795353649225435,0,0.0
3,10.0,370.0,360.0,361,58.61925207756232,58.55,0.10451971756539427,-0.0007464430194415513,0.004583333333333507,325.32422325899427,18.095159435041808,73.19423703154155,0.9198627481345159,57,0.15789473684210525
4,10.0,63.0,53.0,54,148.3787037037037,148.4,0.03920725066618417,-0.0006537068801219123,0.007547169811320862,219.0446582719611,219.14991529348663,2.2311723750181645,0.09397432046235453,2,0.037037037037037035
5,10.0,309.0,299.0,300,9.999666666666666,10.0,0.009994442900376776,5.155612840158832e-06,0.0011705685618729263,44.69799446778045,22.481677195958582,44.31242049297104,-1.6627368764289996,132,0.44
6,10.0,327.0,317.0,318,80.01399371069182,79.95,0.12806282837247784,-0.0011831565481903268,0.003785488958990366,145.16436933579865,62.826930176708466,77.86611434148283,0.2953807212107947,101,0.31761006289308175
7,10.0,396.0,386.0,387,82.06834625322998,82.0,0.11663611562407947,-0.0007174196866346423,0.006347150259067107,8.079463095807196,345.94977418634403,67.7601704912329,1.597033784731957,91,0.2351421188630491
8,10.0,374.0,364.0,365,22.75657534246576,22.75,0.036422903304881224,-0.00016524234804052537,0.0027472527472527865,322.99153272399,272.8503783632327,53.577842333290164,-2.0239386516548903,92,0.25205479452054796
9,10.0,217.0,207.0,208,11.722596153846155,11.7,0.02488416210501484,-0.0003572514442079977,0.0002415458937198102,329.3399204900428,311.02453643520903,66.85881369051818,0.7361494069709305,56,0.2692307692307692
10,10.0,63.0,53.0,54,159.75000000000003,159.7,0.07071067811865893,-0.0008042691061546987,0.009433962264150943,219.00854985279486,218.5392280031835,5.185743405245377,0.1539143995834947,1,0.018518518518518517
11,10.0,349.0,339.0,340,78.64338235294119,78.6,0.10554634184478712,-0.0008041770155754963,0.003244837758112036,172.40397269961568,319.57241396690165,81.40028933962695,0.896650572352771,130,0.38235294117647056
12,10.0,85.0,75.0,76,125.56184210526312,125.55,0.02794310602841328,-0.0007573479152420809,0.008666666666666174,234.1386161104175,226.6661266950384,21.24585928205973,0.7028356865475057,10,0.13157894736842105
13,10.0,353.0,343.0,344,128.9552325581395,128.85,0.19689140404415575,-0.0016992603772695116,0.0059766763848396005,33.59263685963581,70.11557530863172,68.325315207758,-1.6859928498069288,70,0.20348837209302326
14,10.0,365.0,355.0,356,91.03005617977529,91.0,0.13301177269434866,-0.0008476769406924544,0.007183098591549168,358.9898683492232,16.818798904523646,69.87890005368634,3.750327178482136,95,0.26685393258426965
15,10.0,68.0,58.0,59,15.07372881355932,15.1,0.04814872105539583,-0.0007831677381647411,0.01034482758620692,333.7559676747622,11.209195713456381,67.4835012983232,3.9924364934292416,31,0.5254237288135594
16,10.0,93.0,83.0,84,21.113690476190474,21.15,0.15475618121284457,0.004734737268401311,0.016265060240963743,133.2704483447389,136.48396098368528,18.746052321847486,0.0024769743398588315,21,0.25
17,10.0,65.0,55.0,56,160.48660714285714,160.525,0.06975151779491429,-0.003873889268626924,0.0027272727272728307,215.45790141257618,214.69750236712815,5.3463159991845925,0.27372862122464275,0,0.0
18,10.0,417.0,407.0,408,56.90294117647059,56.9,0.07639985416388571,-0.0001982599206818478,0.006633906633906711,8.07363737018705,332.49480564503676,77.50317700395033,-2.4623210849278743,121,0.2965686274509804
19,10.0,89.0,79.0,80,172.23875000000004,172.25,0.0506057061999958,-0.0001406469760907902,0.013291139240507552,225.42917844408223,217.50055318346375,14.750670101410162,0.7225482618168179,0,0.0
20,10.0,64.0,54.0,55,205.39000000000004,205.35,0.05342794638151206,-0.0017496392496403677,0.004629629629629629,219.59053065537634,218.95001035772435,2.9054680132712134,0.19240990184733628,0,0.0
21,10.0,92.0,82.0,83,117.57590361445783,117.6,0.04680222795073506,-0.0006979136056414577,0.007317073170731984,219.36268693448858,220.13622122275297,11.864850726034454,0.23301895738565986,16,0.1927710843373494
22,10.0,417.0,407.0,408,35.17156862745098,35.15,0.04863822224158733,-0.00026246779446837033,0.0031941031941031175,180.01390080293575,146.53936016253863,57.21629490899395,4.387015690042921,68,0.16666666666666666
23,10.0,402.0,392.0,393,93.7703562340967,93.7,0.15594373395837688,-0.0010932704542273054,0.0061224489795916335,47.735740606073314,157.27708737857648,78.2264531619084,-3.7550686553803696,90,0.22900763358778625
24,10.0,64.0,54.0,55,499.95000000000005,499.95,5.684341886080802e-14,-3.629200165130696e-15,0.0,112.15150736928976,109.34688938583213,62.50217729473235,-1.9687373992089632,9,0.16363636363636364
