track_id_1,track_id_2,f_median_1,f_median_2,doa_median_1,doa_median_2,overlap_points,overlap_duration,mean_diff,median_diff,p90_diff,corr,doa_consistent,reason
2,4,273.82500000000005,148.4,217.5500155433583,219.14991529348663,54,53.0,,,,,False,overlap_too_short
2,10,273.82500000000005,159.7,217.5500155433583,218.5392280031835,54,53.0,,,,,False,overlap_too_short
2,12,273.82500000000005,125.55,217.5500155433583,226.6661266950384,64,63.0,,,,,False,overlap_too_short
2,17,273.82500000000005,160.525,217.5500155433583,214.69750236712815,56,55.0,,,,,False,overlap_too_short
2,19,273.82500000000005,172.25,217.5500155433583,217.50055318346375,64,63.0,,,,,False,overlap_too_short
2,20,273.82500000000005,205.35,217.5500155433583,218.95001035772435,55,54.0,,,,,False,overlap_too_short
2,21,273.82500000000005,117.6,217.5500155433583,220.13622122275297,64,63.0,,,,,False,overlap_too_short
2,28,273.82500000000005,103.725,217.5500155433583,211.49960220442824,64,63.0,,,,,False,overlap_too_short
2,32,273.82500000000005,136.9,217.5500155433583,221.66364801401906,64,63.0,,,,,False,overlap_too_short
2,35,273.82500000000005,251.0,217.5500155433583,218.95014446443716,51,50.0,,,,,False,overlap_too_short
2,39,273.82500000000005,124.7,217.5500155433583,24.583195345874117,0,0.0,,,,,False,no_overlap
2,40,273.82500000000005,170.5,217.5500155433583,50.378164918888785,0,0.0,,,,,False,no_overlap
2,41,273.82500000000005,375.1,217.5500155433583,42.76265252244343,0,0.0,,,,,False,no_overlap
2,42,273.82500000000005,408.9,217.5500155433583,15.048990224113822,0,0.0,,,,,False,no_overlap
2,43,273.82500000000005,148.8,217.5500155433583,20.247409204110454,0,0.0,,,,,False,no_overlap
2,44,273.82500000000005,344.65,217.5500155433583,16.89969934720159,0,0.0,,,,,False,no_overlap
2,45,273.82500000000005,159.85,217.5500155433583,38.8931407026601,0,0.0,,,,,False,no_overlap
2,46,273.82500000000005,193.2,217.5500155433583,35.85000243700914,0,0.0,,,,,False,no_overlap
2,47,273.82500000000005,238.7,217.5500155433583,52.25110962803621,0,0.0,,,,,False,no_overlap
2,48,273.82500000000005,175.7,217.5500155433583,44.35809221115328,0,0.0,,,,,False,no_overlap
2,50,273.82500000000005,148.15,217.5500155433583,28.149354226388194,0,0.0,,,,,False,no_overlap
2,51,273.82500000000005,210.85,217.5500155433583,51.96171092326851,0,0.0,,,,,False,no_overlap
