track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio,doa_motion_ok,doa_noise_ok,doa_prefilter_keep,cluster_id_final,pair_count,support_count,track_support_ratio,track_role
2,10.0,73.0,63.0,64,273.83671875000005,273.82500000000005,0.0761588530535771,-0.002562957875457029,0.0119047619047601,219.48483188649743,217.5500155433583,4.854881593854476,0.2795353649225435,0,0.0,True,True,True,-1,44,0,0.0,isolated
4,10.0,63.0,53.0,54,148.3787037037037,148.4,0.03920725066618417,-0.0006537068801219123,0.007547169811320862,219.0446582719611,219.14991529348663,2.2311723750181645,0.09397432046235453,2,0.037037037037037035,True,True,True,-1,44,0,0.0,isolated
10,10.0,63.0,53.0,54,159.75000000000003,159.7,0.07071067811865893,-0.0008042691061546987,0.009433962264150943,219.00854985279486,218.5392280031835,5.185743405245377,0.1539143995834947,1,0.018518518518518517,True,True,True,-1,44,0,0.0,isolated
12,10.0,85.0,75.0,76,125.56184210526312,125.55,0.02794310602841328,-0.0007573479152420809,0.008666666666666174,234.1386161104175,226.6661266950384,21.24585928205973,0.7028356865475057,10,0.13157894736842105,True,True,True,-1,44,0,0.0,isolated
17,10.0,65.0,55.0,56,160.48660714285714,160.525,0.06975151779491429,-0.003873889268626924,0.0027272727272728307,215.45790141257618,214.69750236712815,5.3463159991845925,0.27372862122464275,0,0.0,True,True,True,-1,44,0,0.0,isolated
19,10.0,89.0,79.0,80,172.23875000000004,172.25,0.0506057061999958,-0.0001406469760907902,0.013291139240507552,225.42917844408223,217.50055318346375,14.750670101410162,0.7225482618168179,0,0.0,True,True,True,-1,44,0,0.0,isolated
20,10.0,64.0,54.0,55,205.39000000000004,205.35,0.05342794638151206,-0.0017496392496403677,0.004629629629629629,219.59053065537634,218.95001035772435,2.9054680132712134,0.19240990184733628,0,0.0,True,True,True,-1,44,0,0.0,isolated
21,10.0,92.0,82.0,83,117.57590361445783,117.6,0.04680222795073506,-0.0006979136056414577,0.007317073170731984,219.36268693448858,220.13622122275297,11.864850726034454,0.23301895738565986,16,0.1927710843373494,True,True,True,-1,44,0,0.0,isolated
28,10.0,89.0,79.0,80,103.73312500000002,103.725,0.049964831381680015,-0.001417604313174099,0.008860759493670382,217.5260699240326,211.49960220442824,23.851265993930486,3.8929443132024906,18,0.225,True,True,True,-1,44,0,0.0,isolated
32,10.0,84.0,74.0,75,136.884,136.9,0.07795725324389398,-0.002664295874821022,0.009459459459458922,223.58793204822146,221.66364801401906,12.820380539582407,0.4996626674754664,9,0.12,True,True,True,-1,44,0,0.0,isolated
35,23.0,73.0,50.0,51,251.01078431372554,251.0,0.0743031189078337,-0.0016108597285059527,0.008000000000000682,220.97513824724678,218.95014446443716,5.7500961360247596,0.4434195812653894,0,0.0,True,True,True,-1,44,0,0.0,isolated
39,103.0,226.0,123.0,124,124.72419354838712,124.7,0.08242393144290847,-0.001890479937057494,0.003658536585365761,27.517083366532447,24.583195345874117,22.70460464126633,0.5194018340238395,25,0.20161290322580644,True,True,True,-1,44,0,0.0,isolated
40,103.0,388.0,285.0,286,170.52587412587414,170.5,0.05349764613250629,-0.00027789925094179557,0.0043859649122812,47.42521551586493,50.378164918888785,21.32175156493394,0.28467081222702917,12,0.04195804195804196,True,True,True,0,44,14,0.3181818181818182,core
41,105.0,313.0,208.0,175,375.1117142857143,375.1,0.04430322234559309,-0.0001189401115278466,0.0028735632183901514,34.29454341915893,42.76265252244343,19.027824288333107,0.31662844308773663,1,0.005714285714285714,True,True,True,0,44,14,0.3181818181818182,core
