track_id_1,track_id_2,f_median_1,f_median_2,doa_median_1,doa_median_2,overlap_points,overlap_duration,mean_diff,median_diff,p90_diff,corr,doa_consistent,reason
1,3,113.7,82.0,71.27494899117362,345.4261934019768,384,383.0,81.56864532463237,72.85199274267077,160.39766049163256,-0.41969182437302666,False,diff_too_large
1,5,113.7,159.75,71.27494899117362,226.7438923587684,97,96.0,,,,,False,overlap_too_short
1,6,113.7,296.75,71.27494899117362,221.55000639758975,93,92.0,,,,,False,overlap_too_short
1,7,113.7,285.15,71.27494899117362,219.95151342743645,72,71.0,,,,,False,overlap_too_short
1,9,113.7,125.55,71.27494899117362,263.7502338320402,124,123.0,26.310632193782048,18.6131127288011,60.33937057376077,0.9082510462557107,False,diff_too_large
1,10,113.7,227.95,71.27494899117362,245.84918695215728,137,136.0,24.832964003857903,17.226120054815993,50.97500777063318,0.7931287843657112,False,diff_too_large
1,11,113.7,319.6,71.27494899117362,221.10001645483482,90,89.0,,,,,False,overlap_too_short
1,12,113.7,365.3,71.27494899117362,214.89988980997737,62,61.0,,,,,False,overlap_too_short
1,13,113.7,128.85,71.27494899117362,73.61095428639953,374,373.0,49.60156609878349,33.607937128936896,126.93729364142305,0.3598530002251962,False,diff_too_large
1,14,113.7,239.8,71.27494899117362,233.6458457906235,127,126.0,19.593164602758094,14.89577934987264,41.1345592341444,0.9645554354538497,True,ok
1,15,113.7,211.55,71.27494899117362,217.25002284807545,63,62.0,,,,,False,overlap_too_short
1,16,113.7,91.0,71.27494899117362,16.818798904523646,356,355.0,64.13093291637784,44.3204734929558,156.44717692775592,-0.8586431379270293,False,diff_too_large
1,17,113.7,250.95,71.27494899117362,226.44999817224806,111,110.0,21.613473851812124,17.998808288571325,42.711950753269036,0.9527409097912118,False,diff_too_large
1,19,113.7,175.75,71.27494899117362,31.533789797887323,354,353.0,35.775375563920264,24.123753869793887,88.25663413029218,-0.5393276321516738,False,diff_too_large
1,20,113.7,152.25,71.27494899117362,41.150530971131104,363,362.0,33.774710601605705,21.406102273718545,84.10430719483325,-0.5203890319315336,False,diff_too_large
1,22,113.7,10.0,71.27494899117362,22.481677195958582,300,299.0,89.76380753766236,86.09548068864038,166.6230256408503,0.4370924657245493,False,diff_too_large
1,23,113.7,11.7,71.27494899117362,311.02453643520903,208,207.0,47.99931856610642,32.92228421385056,127.91188004136056,-0.05805235990354104,False,diff_too_large
1,24,113.7,148.35,71.27494899117362,219.49988879197718,74,73.0,,,,,False,overlap_too_short
1,25,113.7,204.65,71.27494899117362,38.54986928121997,408,407.0,37.470474568086594,23.615074412503105,92.68049743934449,-0.6049471756595952,False,diff_too_large
1,26,113.7,68.25,71.27494899117362,48.05051949817422,408,407.0,51.73600601997721,42.80323750707612,103.36523936649428,0.863446363284748,False,diff_too_large
1,27,113.7,35.15,71.27494899117362,146.53936016253863,408,407.0,81.00132741464186,72.92022303212781,166.92797534236155,-0.7318842680127315,False,diff_too_large
1,29,113.7,499.95,71.27494899117362,65.13685565281153,65,64.0,,,,,False,overlap_too_short
1,30,113.7,182.45,71.27494899117362,236.8514478661517,127,126.0,21.283704164749402,18.500366477642046,45.833963331913594,0.9649323488008401,False,diff_too_large
1,32,113.7,102.35,71.27494899117362,57.97551922646869,374,373.0,49.03020556720201,30.065783642246004,129.54049889327396,-0.4451026610129115,False,diff_too_large
1,33,113.7,103.4,71.27494899117362,209.4171466609937,302,301.0,36.12708628785084,20.63135696946111,95.374799492583,0.4160057654965334,False,diff_too_large
1,35,113.7,140.65,71.27494899117362,49.198914244564804,394,393.0,49.957176450716,35.38058453024621,126.70115046702257,0.24494435453158347,False,diff_too_large
1,36,113.7,136.5,71.27494899117362,24.281154362922848,361,360.0,38.31722770764925,26.31783455359158,89.56476238726384,-0.6108163296801196,False,diff_too_large
1,37,113.7,105.45,71.27494899117362,43.45504770360128,408,407.0,44.71272053716628,26.57743255892791,115.06055476939981,-0.5868004114204489,False,diff_too_large
1,38,113.7,70.25,71.27494899117362,286.0702594775795,376,375.0,56.850944274723204,51.27256524551703,113.5765650104314,-0.6476473276328636,False,diff_too_large
1,39,113.7,172.25,71.27494899117362,232.949998208835,117,116.0,20.460414909449042,16.721129015680845,46.61723348244103,0.9492846630320839,False,diff_too_large
1,40,113.7,117.6,71.27494899117362,223.53290192694504,93,92.0,,,,,False,overlap_too_short
1,41,113.7,159.85,71.27494899117362,32.93043190020575,331,330.0,34.11019787088765,22.21405485939232,82.10486194701718,-0.5736329539009175,False,diff_too_large
1,42,113.7,91.75,71.27494899117362,354.7928541028662,274,273.0,56.58863234410547,45.535142074942385,124.5598093962476,-0.3393784236768818,False,diff_too_large
1,43,113.7,22.75,71.27494899117362,272.8503783632327,365,364.0,78.80227469926248,73.47976512880894,149.47537206577252,0.8304591574341411,False,diff_too_large
1,44,113.7,273.8,71.27494899117362,225.09991361663742,106,105.0,21.851494844076562,16.77640670247608,45.4561769559609,0.9255394464001644,False,diff_too_large
1,46,113.7,431.2,71.27494899117362,223.67543206336398,75,74.0,,,,,False,overlap_too_short
1,47,113.7,228.1,71.27494899117362,220.55015185464612,42,41.0,,,,,False,overlap_too_short
1,48,113.7,193.25,71.27494899117362,37.149956430941245,305,304.0,33.85632988622824,23.196153953399403,76.8771415888391,-0.5746896069886274,False,diff_too_large
1,49,113.7,175.45,71.27494899117362,222.29520386251914,40,39.0,,,,,False,overlap_too_short
1,50,113.7,238.7,71.27494899117362,45.36249854105563,354,353.0,38.626381506911315,25.755120504775988,97.72562698153706,-0.5868119678033755,False,diff_too_large
1,52,113.7,124.7,71.27494899117362,40.55040188786711,314,313.0,47.360291033117285,34.08248844184257,108.91057708049331,-0.5151522684031505,False,diff_too_large
1,53,113.7,375.1,71.27494899117362,39.7500228491196,353,352.0,42.80224991602487,28.80496053282468,109.41374153198944,-0.5532989081597186,False,diff_too_large
1,54,113.7,46.0,71.27494899117362,70.26825523209573,210,209.0,78.08693488810216,62.37459697755172,167.16077215918523,-0.5448280232557504,False,diff_too_large
1,55,113.7,215.95,71.27494899117362,44.256830469149236,272,271.0,35.35795167716618,23.687965913470094,86.63846045660621,-0.6444699030805295,False,diff_too_large
1,56,113.7,295.5,71.27494899117362,45.34855149729634,301,300.0,36.7529867886888,25.598525837205273,86.98061975012024,-0.6590483627997896,False,diff_too_large
1,57,113.7,344.6,71.27494899117362,35.450473625473876,267,266.0,40.427479829614846,28.88461724506061,94.43780802917,-0.6384246768216774,False,diff_too_large
1,58,113.7,443.15,71.27494899117362,45.94654412157132,282,281.0,36.377994006160286,24.700717022326643,84.42213418047612,-0.6803383905479833,False,diff_too_large
1,59,113.7,148.8,71.27494899117362,26.343210229586475,279,278.0,45.276841261658106,27.132861664240295,113.0023676552123,-0.6764513593535718,False,diff_too_large
1,60,113.7,170.5,71.27494899117362,49.68115529117506,330,329.0,41.12632732102359,27.711057535003306,103.03013346452468,-0.6785307416306978,False,diff_too_large
1,61,113.7,261.5,71.27494899117362,41.94505962063306,249,248.0,37.993569754373254,23.917579360155003,93.25203481689886,-0.6618703335593501,False,diff_too_large
1,62,113.7,250.05,71.27494899117362,54.291395779088134,328,327.0,40.09476462488648,27.913766023018354,98.79597036838899,-0.7094684456646475,False,diff_too_large
1,63,113.7,187.4,71.27494899117362,31.349212475013132,175,174.0,36.6979195344434,24.112136312640388,100.68043601461203,-0.6184093357515257,False,diff_too_large
1,64,113.7,210.9,71.27494899117362,50.549892113343276,325,324.0,40.45137920664716,26.917201205381446,106.46177253275171,-0.791373443637253,False,diff_too_large
1,65,113.7,159.125,71.27494899117362,43.67027417164445,302,301.0,45.06991897852997,31.961656030841908,108.92908139715263,-0.5140589342081392,False,diff_too_large
1,66,113.7,229.8,71.27494899117362,46.25477894288929,261,260.0,35.56556206431959,25.171862097041185,88.1196582847632,-0.8323562777566637,False,diff_too_large
1,67,113.7,148.1,71.27494899117362,22.549881994332168,86,85.0,,,,,False,overlap_too_short
1,68,113.7,101.3,71.27494899117362,31.48829525819042,135,134.0,46.96959149020059,32.19033934418576,113.3866920352332,-0.5405974561366296,False,diff_too_large
1,69,113.7,363.7,71.27494899117362,45.148799692523085,267,266.0,39.096760906305946,25.38458251101389,94.09121590856199,-0.8453530381354953,False,diff_too_large
1,70,113.7,318.25,71.27494899117362,32.82154046062351,180,179.0,41.61740551775572,24.86007238152061,104.78474532122918,-0.7246840619080942,False,diff_too_large
1,71,113.7,409.05,71.27494899117362,31.53707413840624,171,170.0,40.382153370118374,27.78080158135515,95.95002784347082,-0.7772562577807272,False,diff_too_large
1,72,113.7,272.85,71.27494899117362,21.749542867920184,87,86.0,,,,,False,overlap_too_short
1,73,113.7,241.75,71.27494899117362,33.65013161132174,139,138.0,41.09578328101554,25.892369823302886,101.53291818335309,-0.725054936299234,False,diff_too_large
1,74,113.7,183.35,71.27494899117362,43.09783552808506,212,211.0,38.763132663940326,22.688814309259428,97.64460486695798,-0.7389417445713493,False,diff_too_large
1,75,113.7,245.9,71.27494899117362,55.1143935093304,259,258.0,38.51483631951365,26.147886815370953,96.68222788316996,-0.8079684123479871,False,diff_too_large
1,76,113.7,117.05,71.27494899117362,32.750586842060045,83,82.0,,,,,False,overlap_too_short
1,78,113.7,171.6,71.27494899117362,50.849914082948494,249,248.0,42.59697072963928,28.140919055173015,108.7977947748274,-0.750582125573366,False,diff_too_large
1,79,113.7,341.5,71.27494899117362,20.400654406390835,50,49.0,,,,,False,overlap_too_short
1,81,113.7,340.95,71.27494899117362,46.150111812416796,225,224.0,41.885097455137846,31.484889069877596,96.42194143769024,-0.774021909509037,False,diff_too_large
1,82,113.7,173.6,71.27494899117362,50.67097976421888,166,165.0,41.247001443541734,26.048300268057673,94.09639811446715,-0.4478813932992531,False,diff_too_large
1,84,113.7,386.35,71.27494899117362,32.643325745194836,89,88.0,,,,,False,overlap_too_short
1,85,113.7,257.55,71.27494899117362,30.708001999962093,40,39.0,,,,,False,overlap_too_short
1,86,113.7,292.7,71.27494899117362,42.850152807414865,112,111.0,41.98174264765834,31.33912290478561,92.33355790226713,-0.12761532969998093,False,diff_too_large
