track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio,doa_motion_ok,doa_noise_ok,doa_prefilter_keep,cluster_id_final,pair_count,support_count,track_support_ratio,track_role
1,10.0,417.0,407.0,408,113.78321078431374,113.7,0.1883721147335471,-0.0009326441028584364,0.006756756756757106,87.0936557482231,71.27494899117362,62.242776478897284,-1.460954476131537,65,0.15931372549019607,True,True,True,-1,90,1,0.011111111111111112,supported
3,10.0,393.0,383.0,384,82.06940104166667,82.0,0.11640180768462341,-0.0007177348597876587,0.006135770234986708,7.867376527871968,345.4261934019768,68.38419606847567,1.6179691390081379,88,0.22916666666666666,True,True,True,-1,90,0,0.0,isolated
5,10.0,106.0,96.0,97,159.75051546391754,159.75,0.06753954372849477,-0.0001453029665478006,0.01510416666666714,237.16214318861603,226.7438923587684,25.098491920305957,0.991782356829732,1,0.010309278350515464,True,True,True,-1,90,0,0.0,isolated
6,10.0,102.0,92.0,93,296.63978494623655,296.75,0.1703189828011557,-0.005457163319507874,0.008695652173914404,233.73445785466706,221.55000639758975,24.927582803396906,1.0648442185324059,0,0.0,True,True,True,-1,90,0,0.0,isolated
7,10.0,81.0,71.0,72,285.12500000000006,285.15,0.04787135538780305,-0.0017669946620342389,0.004225352112676216,222.27279106741054,219.95151342743645,8.838875784494654,0.4818885136968717,0,0.0,True,True,True,-1,90,0,0.0,isolated
9,10.0,133.0,123.0,124,125.53669354838709,125.55,0.04071382768578896,-0.0009455546813534195,0.008130081300812546,267.8481716969261,263.7502338320402,49.728978541897334,1.4528001577106096,18,0.14516129032258066,True,True,True,0,90,10,0.1111111111111111,core
10,10.0,146.0,136.0,137,227.95145985401464,227.95,0.06391760373427284,-0.0006221180950972764,0.008455882352939965,267.57659097940734,245.84918695215728,57.930468093059304,1.5549860838373288,0,0.0,True,True,True,0,90,13,0.14444444444444443,core
11,10.0,99.0,89.0,90,319.5133333333333,319.6,0.14275075403576123,-0.004188994526076749,0.011235955056179137,233.7169449732591,221.10001645483482,22.37423733633171,0.9714976025815238,0,0.0,True,True,True,-1,90,0,0.0,isolated
12,10.0,71.0,61.0,62,365.3177419354838,365.3,0.023923220926120484,-0.0011080053385706624,0.0008196721311477274,216.8978677839959,214.89988980997737,4.570166985884122,0.2810761298689919,0,0.0,True,True,True,-1,90,0,0.0,isolated
13,10.0,383.0,373.0,374,128.9479946524064,128.85,0.19034865273248341,-0.0014232742182911564,0.005898123324396829,44.56118820566864,73.61095428639953,67.9021406596953,-1.4196397128956881,86,0.22994652406417113,True,True,True,-1,90,0,0.0,isolated
14,10.0,136.0,126.0,127,239.77283464566932,239.8,0.03245584857563637,0.0005123383014624133,0.007142857142858316,259.4414189116727,233.6458457906235,52.20893864595736,1.5252184724473727,0,0.0,True,True,True,0,90,13,0.14444444444444443,core
15,10.0,72.0,62.0,63,211.5507936507936,211.55,0.043179271456302536,-0.0015817012288793335,0.006451612903226815,219.88152540066494,217.25002284807545,4.70126263763366,0.2518573450992685,0,0.0,True,True,True,-1,90,0,0.0,isolated
16,10.0,365.0,355.0,356,91.03005617977529,91.0,0.13301177269434866,-0.0008476769406923475,0.007183098591549168,358.9898683492232,16.818798904523646,69.87890005368634,3.750327178482136,95,0.26685393258426965,True,True,True,-1,90,0,0.0,isolated
17,10.0,120.0,110.0,111,250.90405405405403,250.95,0.22632344859617756,-0.005719550719549974,0.02090909090909282,248.57219493583676,226.44999817224806,40.13784152606057,1.3753318609413976,0,0.0,True,True,True,0,90,12,0.13333333333333333,core
19,10.0,363.0,353.0,354,175.85310734463278,175.75,0.2613879831642366,-0.002126086330244044,0.010623229461756454,32.47019934186113,31.533789797887323,55.93702486915936,0.6393056774913766,23,0.06497175141242938,True,True,True,0,90,37,0.4111111111111111,core
20,10.0,372.0,362.0,363,152.3887052341598,152.25,0.22387577392141378,-0.0017060789536933643,0.009116022099447781,59.83011285686367,41.150530971131104,57.615393815986764,0.6894090468740186,52,0.14325068870523416,True,True,True,0,90,10,0.1111111111111111,core
