track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio,doa_motion_ok,doa_noise_ok,doa_prefilter_keep
2,10.0,326.0,316.0,317,80.0140378548896,79.95,0.12826224547514203,-0.0011935508660951921,0.003639240506328952,143.9674401169886,65.28140497363253,77.9504075373394,0.3104986765615463,100,0.31545741324921134,True,False,False
4,10.0,93.0,83.0,84,21.113690476190474,21.15,0.15475618121284457,0.004734737268401319,0.016265060240963743,133.2704483447389,136.48396098368528,18.746052321847486,0.0024769743398588124,21,0.25,False,True,False
8,10.0,345.0,335.0,336,78.64389880952382,78.6,0.10606591278882048,-0.000823908752127562,0.003283582089552179,166.63199079319352,324.7908854001422,81.20882544498534,0.9375761490721882,127,0.37797619047619047,True,False,False
18,10.0,68.0,58.0,59,15.07372881355932,15.1,0.04814872105539583,-0.000783167738164925,0.01034482758620692,333.7559676747622,11.209195713456381,67.4835012983232,3.9924364934292402,31,0.5254237288135594,True,False,False
21,10.0,395.0,385.0,386,56.897279792746126,56.875,0.07251306443632566,-0.00032874664396538914,0.00532467532467541,20.753440206613618,349.4867584550578,77.24466970655986,-2.3441672196664993,105,0.27202072538860106,True,False,False
28,10.0,401.0,391.0,392,93.77104591836735,93.7,0.15554275589660593,-0.0010910753282394566,0.006138107416879592,47.40082135247356,161.55850210136578,78.384238263216,-3.7511838793362853,89,0.22704081632653061,True,False,False
31,10.0,370.0,360.0,361,46.91301939058172,46.9,0.06634103246102045,-0.0003112007264453408,0.003194444444444342,274.0236323697358,13.652934882460897,76.25001826753606,-1.6341845159611297,87,0.2409972299168975,True,False,False
34,10.0,392.0,382.0,383,45.51592689295039,45.5,0.07303287919746092,-0.0004985804580810585,0.004842931937172741,328.00279705729264,5.883225928876072,79.29116939338286,0.4369995315283614,95,0.24804177545691905,True,False,False
45,10.0,369.0,359.0,360,58.61930555555555,58.55,0.10465985101069261,-0.0007517869222243036,0.0045961002785517065,324.9519072418786,16.620964794953693,73.51951334359345,0.897874039913533,54,0.15,True,False,False
51,62.0,129.0,67.0,68,23.477941176470587,23.5,0.024826386788432905,-0.0010840935985035754,0.0022388059701492855,344.8321533158543,214.02422428366702,79.90657102909435,0.656727924263769,28,0.4117647058823529,True,False,False
77,124.0,345.0,221.0,222,14.21081081081081,14.25,0.09793024852832807,0.00018349620037825566,0.006787330316742097,25.075830019333573,84.81738962628276,74.77013645234872,4.7583432658145295,107,0.481981981981982,True,False,False
80,130.0,409.0,279.0,280,499.9499999999999,499.95,1.1368683772161603e-13,-3.863568885259736e-16,0.0,183.77599127133422,218.74432755652148,87.01025959562745,-2.6967014152012725,72,0.2571428571428571,True,False,False
83,153.0,221.0,68.0,69,14.876811594202898,14.85,0.08056850094072304,-0.0017245158933138704,0.011029411764705857,346.63122081781376,341.4150588987798,47.36727554147735,-0.2051047480326169,46,0.6666666666666666,True,False,False
91,234.0,377.0,143.0,144,4.526041666666667,4.55,0.03383412868523262,-0.00048579294268949274,0.00454545454545453,0.0,0.0,0.0,0.0,0,0.0,False,True,False
92,246.0,289.0,43.0,44,13.195454545454544,13.2,0.08843216571974453,0.006293164200141015,0.009302325581395357,52.03005941795023,75.10520362229809,57.169515529684425,4.849069338364768,25,0.5681818181818182,True,False,False
93,253.0,329.0,76.0,77,0.5,0.5,0.0,-2.2543022252832357e-18,0.0,0.0,0.0,0.0,0.0,0,0.0,False,True,False
94,258.0,417.0,159.0,160,36.598437499999996,36.65,0.07233210624439197,0.0006755390835579263,0.007861635220125696,240.81051263898468,249.25362034300178,74.83896949597899,3.021996651135483,66,0.4125,True,False,False
95,266.0,329.0,63.0,64,2.35859375,2.4,0.0548824649677609,6.295787545787492e-05,0.00873015873015874,0.0,0.0,0.0,0.0,0,0.0,False,True,False
98,310.0,373.0,63.0,64,14.790625000000002,14.8,0.07648273906575297,-0.0023420329670329975,0.009523809523809575,248.32776786213248,6.191926978730635,76.20146961137314,-2.4454866666784194,37,0.578125,True,False,False
