track_id_1,track_id_2
9,36
9,39
9,41
9,10
9,44
9,14
9,17
9,19
9,25
9,30
10,33
10,36
10,39
10,41
10,44
10,14
10,48
10,17
10,19
10,20
10,25
10,30
14,33
14,36
14,39
14,41
14,44
14,17
14,19
14,20
14,25
14,30
17,33
17,36
17,39
17,41
17,44
17,19
17,20
17,25
17,30
19,25
19,30
19,36
19,39
19,41
19,44
19,48
19,50
19,53
19,55
19,56
19,57
19,58
19,60
19,61
19,62
19,63
19,64
19,65
19,66
19,68
19,69
19,70
19,71
19,73
19,74
19,75
19,78
19,81
19,82
19,86
19,87
19,90
20,66
20,69
20,39
20,75
20,44
20,25
20,90
25,30
25,36
25,39
25,41
25,44
25,48
25,50
25,53
25,55
25,56
25,57
25,58
25,60
25,61
25,62
25,63
25,64
25,65
25,66
25,68
25,69
25,70
25,71
25,73
25,74
25,75
25,78
25,81
25,82
25,86
25,87
25,90
30,33
30,36
30,39
30,41
30,44
33,39
33,44
36,64
36,66
36,69
36,70
36,71
36,73
36,74
36,75
36,78
36,82
36,39
36,41
36,44
36,48
36,50
36,53
36,55
36,56
36,57
36,58
36,60
36,61
36,62
36,63
39,41
39,44
41,44
41,48
41,50
41,53
41,55
41,56
41,57
41,58
41,60
41,61
41,62
41,63
41,64
41,65
41,66
41,68
41,69
41,70
41,71
41,73
41,74
41,75
41,78
41,81
41,82
41,86
41,90
48,64
48,65
48,66
48,68
48,69
48,70
48,71
48,73
48,74
48,75
48,78
48,81
48,82
48,86
48,87
48,90
48,50
48,53
48,55
48,56
48,57
48,58
48,60
48,61
48,62
48,63
50,64
50,65
50,66
50,68
50,69
50,70
50,71
50,73
50,74
50,75
50,78
50,81
50,82
50,86
50,87
50,90
50,53
50,55
50,56
50,57
50,58
50,60
50,61
50,62
50,63
52,70
52,71
52,73
52,61
52,63
53,64
53,65
53,66
53,68
53,69
53,70
53,71
53,73
53,74
53,75
53,78
53,81
53,82
53,86
53,87
53,90
53,55
53,56
53,57
53,58
53,60
53,61
53,62
53,63
55,64
55,65
55,66
55,68
55,69
55,70
55,71
55,73
55,74
55,75
55,78
55,81
55,82
55,86
55,87
55,90
55,56
55,57
55,58
55,60
55,61
55,62
55,63
56,64
56,65
56,66
56,68
56,69
56,70
56,71
56,73
56,74
56,75
56,78
56,81
56,82
56,86
56,87
56,90
56,57
56,58
56,60
56,61
56,62
56,63
57,64
57,65
57,66
57,68
57,69
57,70
57,71
57,73
57,74
57,75
57,78
57,81
57,82
57,86
57,87
57,90
57,58
57,60
57,61
57,62
57,63
58,64
58,65
58,66
58,68
58,69
58,70
58,71
58,73
58,74
58,75
58,78
58,81
58,82
58,86
58,87
58,90
58,60
58,61
58,62
58,63
60,64
60,65
60,66
60,68
60,69
60,70
60,71
60,73
60,74
60,75
60,78
60,81
60,82
60,86
60,87
60,90
60,61
60,62
60,63
61,64
61,65
61,66
61,68
61,69
61,70
61,71
61,73
61,74
61,75
61,78
61,81
61,82
61,86
61,87
61,90
61,62
61,63
62,64
62,65
62,66
62,68
62,69
62,70
62,71
62,73
62,74
62,75
62,78
62,81
62,82
62,86
62,87
62,90
62,63
63,64
63,65
63,66
63,68
63,69
63,70
63,71
63,73
63,74
63,75
63,78
63,81
63,82
63,86
64,65
64,66
64,68
64,69
64,70
64,71
64,73
64,74
64,75
64,78
64,81
64,82
64,86
64,87
64,90
65,66
65,68
65,69
65,70
65,71
65,73
65,74
65,75
65,81
65,82
65,86
65,87
66,68
66,69
66,70
66,71
66,73
66,74
66,75
66,78
66,81
66,82
66,86
66,87
66,90
68,69
68,70
68,71
68,73
68,74
69,70
69,71
69,73
69,74
69,75
69,78
69,81
69,82
69,86
69,87
69,90
70,71
70,73
70,74
70,75
70,78
70,81
70,82
70,86
70,87
71,73
71,74
71,75
71,78
71,81
71,82
71,86
71,87
73,74
73,75
73,78
73,81
73,82
74,75
74,78
74,81
74,82
74,86
74,87
75,78
75,81
75,82
75,86
75,87
75,90
78,81
78,82
78,86
78,87
78,90
81,82
81,86
81,87
81,90
82,86
82,87
86,87
